,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,PS,T2MDEW
2015-05-22,20.34431182539683,27.2,15.31,77.02,0.52,2.15,4.3644,97.17,15.74
2015-05-23,20.275922023809517,26.05,16.07,80.98,1.08,2.23,3.9571,97.08,16.45
2015-05-24,20.37055000000001,27.18,15.43,75.78,0.25,1.25,4.6999,96.91,15.46
2015-05-25,20.539009444444442,27.91,13.71,67.87,0.0,0.67,4.9754,96.71,13.59
2015-05-26,20.906431309523803,28.61,13.72,65.12,0.0,0.76,5.0309,96.65,13.3
2015-05-27,21.18600151515152,28.28,15.87,70.09,0.0,0.76,4.8809,96.76,14.33
2015-05-28,20.38939944444445,28.21,14.0,61.94,0.0,1.09,5.1134,96.8,11.61
2015-05-29,20.18027144300144,29.02,12.85,59.56,0.0,1.04,5.1828,96.71,10.32
2015-05-30,20.4999576984127,28.5,13.62,66.9,0.0,0.83,5.1276,96.72,12.19
2015-05-31,19.98624968975469,28.42,12.57,67.46,0.0,0.86,5.0669,96.66,12.61
2015-06-01,20.769005195637707,29.0,13.31,71.75,0.0,1.46,4.4182,96.61,14.71
2015-06-02,21.172809054834055,28.36,15.85,71.34,0.0,1.34,4.4179,96.76,14.95
2015-06-03,21.770335396825388,29.31,14.76,63.31,0.0,0.68,4.9296,96.55,13.5
2015-06-04,23.110933643578647,31.97,15.16,54.48,0.0,1.74,4.8538,96.2,12.67
2015-06-05,20.474301547619042,26.55,15.97,48.34,0.0,3.4,4.7321,96.58,8.64
2015-06-06,17.918702481684985,24.12,12.87,60.28,0.02,2.83,4.3558,97.03,9.11
2015-06-07,17.456708015873016,24.55,11.78,63.01,0.02,2.12,4.7746,97.0,9.38
2015-06-08,17.864013304473307,25.81,11.52,65.26,0.0,1.47,4.9697,96.93,10.03
2015-06-09,18.60025167748918,25.88,12.48,70.51,0.01,1.64,4.8682,97.04,12.28
2015-06-10,18.12616247835499,24.72,12.99,73.37,0.42,1.96,4.1472,97.15,12.58
2015-06-11,18.209167849927855,24.86,12.61,71.25,0.17,1.29,3.5203,97.0,12.34
2015-06-12,18.2885313011988,25.97,11.75,66.74,0.0,1.56,4.7098,96.94,11.21
2015-06-13,17.735219841269846,25.34,12.27,66.39,0.0,2.3,4.4678,97.1,10.41
2015-06-14,18.325195889943394,25.94,11.94,61.43,0.05,1.75,4.5694,97.01,10.28
2015-06-15,19.666085000000006,27.02,12.6,57.16,0.0,0.9,4.8967,96.84,10.12
2015-06-16,19.424235992063494,28.44,11.62,52.04,0.0,1.46,4.879,96.59,8.27
2015-06-17,20.138673928571432,30.13,11.82,40.96,0.0,2.02,4.9006,96.26,4.87
2015-06-18,17.32530428571429,24.63,11.98,62.56,0.63,2.83,4.0685,96.89,9.36
2015-06-19,17.628085793650794,24.55,11.05,71.44,0.79,2.35,4.1818,97.31,11.77
2015-06-20,17.18024396825397,21.55,13.94,76.88,1.89,3.23,2.7348,97.52,13.06
2015-06-21,17.584983134920634,22.98,12.85,73.42,0.13,2.41,4.0529,97.42,12.35
2015-06-22,18.52104967143968,25.31,13.11,69.24,0.0,1.44,4.278,97.23,12.07
2015-06-23,19.562993968253966,27.48,12.31,62.22,0.0,0.76,4.457,97.07,11.05
2015-06-24,20.134451031746025,28.24,13.07,65.48,0.01,1.11,4.471,96.98,12.76
2015-06-25,20.815601364468858,28.75,14.11,66.13,0.02,1.38,4.5149,96.97,13.73
2015-06-26,20.790887579365076,27.38,15.88,67.14,0.28,1.98,2.9482,97.3,13.57
2015-06-27,18.429919956709956,25.37,13.64,70.99,0.16,2.13,4.1107,97.34,12.0
2015-06-28,18.12934104256854,25.99,11.03,72.23,0.01,1.35,4.4875,97.14,12.12
2015-06-29,19.31707281746031,27.22,12.3,63.85,0.0,1.14,4.699,97.05,10.67
2015-06-30,18.71681206349206,26.25,13.21,61.19,0.0,1.92,3.8957,97.17,9.98
2015-07-01,17.441653452380955,23.22,12.47,80.43,1.12,2.19,2.9191,97.28,13.78
2015-07-02,17.78431103896104,24.42,13.29,73.59,0.22,2.12,2.9093,97.37,12.05
2015-07-03,17.394543769841274,24.02,11.89,75.16,0.09,2.09,3.3929,97.41,12.15
2015-07-04,17.56154023809524,24.59,11.62,72.11,0.03,1.36,3.7505,97.29,11.39
2015-07-05,18.448356230158737,26.77,10.33,64.44,0.0,1.06,4.697,97.14,10.65
2015-07-06,19.492503134920636,28.26,12.0,65.16,0.0,1.4,4.608,97.18,11.7
2015-07-07,18.986061666666668,25.35,14.72,74.2,0.06,3.1,4.1796,97.51,13.32
2015-07-08,17.878477150072154,24.32,13.41,71.3,0.05,2.02,3.2957,97.29,11.88
2015-07-09,18.42509115079365,26.95,10.98,61.75,0.0,1.41,4.6992,97.18,9.6
2015-07-10,17.48343956349207,25.44,11.11,68.12,0.0,2.0,4.6702,97.37,10.52
2015-07-11,18.196562651515155,24.88,12.94,74.06,0.0,1.32,3.4975,97.28,12.78
2015-07-12,19.754990912698414,27.24,14.04,66.43,0.0,0.96,4.7554,97.0,12.03
2015-07-13,20.23962555555555,29.82,12.32,50.7,0.0,1.21,4.9138,96.86,8.31
2015-07-14,19.582866269841272,27.67,12.68,58.28,0.0,1.73,4.5442,97.12,10.32
2015-07-15,19.566931236541233,26.61,14.92,71.85,0.0,1.18,4.4227,97.13,13.23
2015-07-16,20.25533813492063,27.77,14.63,67.86,0.0,1.23,4.6152,96.81,12.63
2015-07-17,21.145367301587303,31.08,13.57,48.61,0.0,2.29,5.0767,96.56,8.14
2015-07-18,21.77956761904761,31.55,13.99,45.23,0.0,1.55,4.8838,96.74,7.67
2015-07-19,21.30868968253969,29.93,14.56,64.39,0.0,1.64,4.777,97.01,12.85
2015-07-20,20.918799888167392,28.14,15.97,67.45,0.06,1.33,4.3464,97.04,13.58
2015-07-21,20.873353214285707,28.2,15.17,62.0,0.0,1.05,4.1486,97.01,12.36
2015-07-22,20.063107619047624,25.98,15.83,68.96,0.06,1.9,3.2129,97.22,13.48
2015-07-23,19.737997261904766,26.8,14.57,60.87,0.0,0.99,4.6963,96.98,11.38
